,,,,,,,,,,,,,,,index,trial_id,registry,registration_date,start_date,retrospective_registration,sponsor,recruitment_status,phase,study_type,countries,title,acronym,study_category,intervention,intervention_list,enrollment,primary_completion_date,full_completion_date,registy_url,results_type,results_published_date,results_url,last_updated,cross_registration
1889,IRCT20150303021315N19,IRCT,27.05.2020,6.06.2020,FALSE,CinnaGen,Company,Recruiting,Phase,2,Interventional,Iran,Pembrolizumab,(CinnaGen,Co,,Iran),in,COVID-19,,Drug,Pembrolizumab,Pembrolizumab,62,Not,Available,Not,Available,http://en.irct.ir/trial/47335,No,Results,No,Results,No,Results,15.06.2020,None,,
1892,IRCT20200501047259N1,IRCT,17.05.2020,9.05.2020,TRUE,Oroumia,University,of,Medical,Sciences,Not,Recruiting,Phase,3,Interventional,Iran,IVIG,and,COVID19,,ATMP,Immunoglobulin,Immunoglobulin,40,Not,Available,Not,Available,http://en.irct.ir/trial/47609,No,Results,No,Results,No,Results,15.06.2020,None,,
1899,IRCT20200405046951N1,IRCT,11.06.2020,21.05.2020,TRUE,Iran,University,of,Medical,Sciences,Recruiting,Phase,3,Interventional,Iran,Vitamin,A,and,COVID-19,,Drug,Vitamin,A,Vitamin,A,120,Not,Available,Not,Available,http://en.irct.ir/trial/47722,No,Results,No,Results,No,Results,15.06.2020,None
1902,IRCT20200421047150N1,IRCT,14.05.2020,12.05.2020,TRUE,DEY,Company,Recruiting,Phase,2/Phase,3,Interventional,Iran,Stem,cell,treatment,for,COVID-19,,ATMP,Cells,(mesenchymal),Cells,(mesenchymal),90,Not,Available,Not,Available,http://en.irct.ir/trial/47964,No,Results,No,Results,No,Results,15.06.2020,None,
1905,IRCT20140428017469N1,IRCT,23.05.2020,13.06.2020,FALSE,Petroleum,Industry,Health,Organization,Recruiting,Phase,3,Interventional,Iran,Polio,Vaccine,and,COVID-19,,ATMP,Vaccine,Vaccine,130000,Not,Available,Not,Available,http://en.irct.ir/trial/47989,No,Results,No,Results,No,Results,15.06.2020,None,,,
1909,IRCT20150716023235N15,IRCT,29.05.2020,21.05.2020,TRUE,Mashhad,University,of,Medical,Sciences,Recruiting,Phase,2/Phase,3,Interventional,Iran,sex,hormones,in,coronavirus,,Drug,Hormones,Hormones,80,Not,Available,Not,Available,http://en.irct.ir/trial/48019,No,Results,No,Results,No,Results,15.06.2020,None,
1920,IRCT20200516047462N1,IRCT,17.05.2020,6.05.2020,TRUE,Kashan,University,of,Medical,Sciences,Not,Recruiting,Not,Applicable,Interventional,Iran,Intervention,,Traditional,Medicine,(Drug),Traditional,Medicine,Traditional,Medicine,50,Not,Available,Not,Available,http://en.irct.ir/trial/48141,No,Results,No,Results,No,Results,15.06.2020,None
1923,IRCT20150107020592N23,IRCT,31.05.2020,20.03.2020,TRUE,Shahid,Beheshti,University,of,Medical,Sciences,Recruiting,Phase,2,Interventional,Iran,Plasmapheresis,and,plasma,exchanges,,,,,,,,,,,,,,,,,,,
1948,JPRN-UMIN000040353,JPRN,11.05.2020,11.05.2020,FALSE,Oita,San-ai,Medical,Center,Not,Recruiting,Not,Applicable,Observational,Japan,Examination,in,COVID-19,pandemic,,,,,,,,,,,,,,,,,,,,
1954,JPRN-UMIN000040520,JPRN,26.05.2020,13.05.2020,TRUE,Oita,San-ai,Medical,Center,Not,Recruiting,Not,Applicable,Observational,Japan,Examination,in,COVID-19,pandemic,,,,,,,,,,,,,,,,,,,,
1963,NCT04316377,ClinicalTrials.gov,13.03.2020,25.03.2020,FALSE,University,Hospital,,Akershus,Not,Recruiting,Phase,4,Interventional,Norway,Norwegian,Coronavirus,Disease,2019,Study,NO,COVID-19,Drug,Hydroxychloroquine,Hydroxychloroquine,53,25.05.2020,3.03.2025,https://clinicaltrials.gov/show/NCT04316377,No,Results,No,Results,No,Results,18.06.2020,None,,
1965,NCT04335851,ClinicalTrials.gov,2.04.2020,6.04.2020,FALSE,Biruni,University,Not,Recruiting,Not,Applicable,Interventional,Turkey,Video-Based,Exercises,and,Well-Being,During,Social,Isolation,,Other,(exercise),Exercise,Exercise,68,15.05.2020,3.06.2020,https://clinicaltrials.gov/show/NCT04335851,No,Results,No,Results,No,Results,18.06.2020,None,,
1966,NCT04339426,ClinicalTrials.gov,7.04.2020,20.04.2020,FALSE,HonorHealth,Research,Institute,Recruiting,Phase,2,Interventional,United,States,Atovaquone,and,Azithromycin,Combination,for,Confirmed,COVID-19,Infection,,Drug,Atovaquone,+,azithromycin,Atovaquone,,,,,,,,,,,
1973,NCT04355702,ClinicalTrials.gov,17.04.2020,1.03.2020,TRUE,University,Hospital,,Montpellier,Recruiting,Not,Applicable,Observational,France,Covid-19,in,Lupus,Patients,,Clinical,Presentation,No,Intervention,No,Intervention,130,1.12.2020,30.12.2020,https://clinicaltrials.gov/show/NCT04355702,No,Results,No,Results,No,Results,18.06.2020,None,,
1979,NCT04370223,ClinicalTrials.gov,27.04.2020,25.05.2020,FALSE,Institut,d'Investigació,Biomèdica,de,Girona,Dr.,Josep,Trueta,Not,Recruiting,Phase,3,Interventional,Spain,Ozone,Auto-hemotherapy,for,COVID-19,Pneumonia,COVID-OZONE,Drug,Ozone,Ozone,208,25.10.2020,25.12.2020,https://clinicaltrials.gov/show/NCT04370223,Pre-Print,Article,5.06.2020,https://doi.org/10.1101/2020.06.03.20117994,18.06.2020,None,
1982,NCT04372017,ClinicalTrials.gov,25.04.2020,14.05.2020,FALSE,Sanford,Health,Not,Recruiting,Phase,3,Interventional,United,States,Hydroxychloroquine,as,Post-Exposure,Prophylaxis,Against,COVID-19,Infection,,Drug,(Chemoprophylaxis),Hydroxychloroquine,Hydroxychloroquine,1,4.06.2020,4.06.2021,https://clinicaltrials.gov/show/NCT04372017,No,Results,No,Results,No,Results,18.06.2020,None,
1986,NCT04393636,ClinicalTrials.gov,11.05.2020,5.06.2020,FALSE,Academic,Hospital,Maastricht,Recruiting,Not,Applicable,Interventional,Netherlands,Digital,Cardiac,Counseling,Trial:,DCC,Trial,DCC,Other,(software),eHealth,eHealth,394,31.12.2022,31.12.2022,https://clinicaltrials.gov/show/NCT04393636,No,Results,No,Results,No,Results,18.06.2020,None,,,
1987,NCT04395807,ClinicalTrials.gov,18.05.2020,3.06.2020,FALSE,Lund,University,Recruiting,Not,Applicable,Interventional,Sweden,Helmet,CPAP,Versus,HFNC,in,COVID-19,COVID,HELMET,Other,(device),CPAP,vs.,Nasal,cannula,CPAP,,,,,,,,,,,,
1992,NCT04412265,ClinicalTrials.gov,30.05.2020,1.03.2020,TRUE,University,of,Milano,Bicocca,Recruiting,Not,Applicable,Observational,Italy,Frailty,in,Elderly,Patients,With,COVID-19,FRA-COVID,Clinical,Presentation,No,Intervention,No,Intervention,300,1.03.2021,1.03.2021,https://clinicaltrials.gov/show/NCT04412265,No,Results,No,Results,No,Results,18.06.2020,None
1993,NCT04412356,ClinicalTrials.gov,24.05.2020,4.06.2020,FALSE,Sahlgrenska,University,Hospital,Recruiting,Not,Applicable,Interventional,Sweden,Timing,of,Tracheotomy,in,Covid-19,Patients,TTCOV19,Other,No,Intervention,No,Intervention,180,1.12.2020,1.02.2021,https://clinicaltrials.gov/show/NCT04412356,No,Results,No,Results,No,Results,18.06.2020,None,,
1998,NCT04418531,ClinicalTrials.gov,3.06.2020,1.06.2020,TRUE,Piero,Luigi,Ruggenenti,Not,Recruiting,Not,Applicable,Interventional,Italy,Convalescent,Antibodies,Infusion,in,COVID,19,Patients,,ATMP,Plasma,Plasma,10,20.09.2020,20.09.2020,https://clinicaltrials.gov/show/NCT04418531,No,Results,No,Results,No,Results,18.06.2020,None,,
1999,NCT04418557,ClinicalTrials.gov,3.06.2020,28.04.2020,TRUE,University,Hospitals,Cleveland,Medical,Center,Recruiting,Not,Applicable,Observational,United,States,COVID-19,and,Obstetric,Transmission,COVIDOB,Clinical,Presentation,No,Intervention,No,Intervention,200,31.07.2021,31.07.2021,https://clinicaltrials.gov/show/NCT04418557,No,Results,No,Results,No,Results,18.06.2020,None
2000,NCT04418609,ClinicalTrials.gov,28.05.2020,1.05.2020,TRUE,Emanuela,Keller,Recruiting,Not,Applicable,Observational,Switzerland,Neuro-COVID-19:,Neurological,Complications,of,COVID-19,Neuro-COVID,Clinical,Presentation,No,Intervention,No,Intervention,30,30.04.2022,30.05.2022,https://clinicaltrials.gov/show/NCT04418609,No,Results,No,Results,No,Results,18.06.2020,None,,,
2004,NCT04420390,ClinicalTrials.gov,14.05.2020,1.05.2020,TRUE,Hospital,San,Carlos,,Madrid,Recruiting,Not,Applicable,Interventional,Spain,Low,Dose,Radiotherapy,for,COVID-19,Pneumonitis,LOWRAD-Cov19,Other,Radiation,Radiation,41,31.07.2020,8.09.2020,https://clinicaltrials.gov/show/NCT04420390,No,Results,No,Results,No,Results,18.06.2020,None,,
2007,NCT04421391,ClinicalTrials.gov,4.06.2020,8.06.2020,FALSE,Therapeutic,Solutions,International,Recruiting,Not,Applicable,Interventional,United,States,QuadraMune(TM),for,Prevention,of,COVID-19,,Supplement,Nutritional,Supplement,Nutritional,Supplement,500,1.11.2020,8.11.2020,https://clinicaltrials.gov/show/NCT04421391,No,Results,No,Results,No,Results,18.06.2020,None,,
2019,NCT04342884,ClinicalTrials.gov,8.04.2020,8.04.2020,FALSE,Wake,Forest,University,Recruiting,Not,Applicable,Observational,United,States,COVID-19,Community,Research,Partnership,,Clinical,Presentation,No,Intervention,No,Intervention,150000,21.12.2020,21.12.2020,https://clinicaltrials.gov/show/NCT04342884,No,Results,No,Results,No,Results,22.06.2020,None,,
2024,NCT04353596,ClinicalTrials.gov,14.04.2020,15.04.2020,TRUE,Medical,University,Innsbruck,Recruiting,Phase,4,Interventional,Austria,,Germany,Stopping,ACE-inhibitors,in,COVID-19,ACEI-COVID,Drug,ACE,inhibitors,or,ARBs,ACE,inhibitors,,,,,,,,,,,,
2028,NCT04365595,ClinicalTrials.gov,24.04.2020,3.06.2020,FALSE,University,of,Zurich,Recruiting,Not,Applicable,Observational,Switzerland,SARS-CoV-2,Associated,Respiratory,Failure,Recovery,(COVID-19,CAir),,Clinical,Presentation,No,Intervention,No,Intervention,200,20.12.2020,20.12.2020,https://clinicaltrials.gov/show/NCT04365595,No,Results,No,Results,No,Results,22.06.2020,None
2032,NCT04373798,ClinicalTrials.gov,1.05.2020,4.05.2020,FALSE,Henning,Bliddal,Recruiting,Not,Applicable,Observational,Denmark,C-reactive,Protein,Levels,Among,Individuals,With,COVID-19,,Clinical,Presentation,No,Intervention,No,Intervention,3000,30.11.2020,30.11.2020,https://clinicaltrials.gov/show/NCT04373798,No,Results,No,Results,No,Results,22.06.2020,None,
2036,NCT04382768,ClinicalTrials.gov,6.05.2020,1.05.2020,TRUE,Quimica,Luar,SRL,Recruiting,Not,Applicable,Interventional,Argentina,Inhaled,Ibuprofen,to,Treat,COVID-19,CórdobaTrail,Drug,Ibuprofen,Ibuprofen,40,21.01.2020,21.01.2020,https://clinicaltrials.gov/show/NCT04382768,No,Results,No,Results,No,Results,22.06.2020,None,,,,,
2038,NCT04386850,ClinicalTrials.gov,11.05.2020,14.04.2020,TRUE,Tehran,University,of,Medical,Sciences,Recruiting,Phase,2/Phase,3,Interventional,Iran,Oral,25-hydroxyvitamin,D3,and,COVID-19,,Drug,Vitamin,D,Vitamin,D,1500,15.11.2020,15.03.2021,https://clinicaltrials.gov/show/NCT04386850,No,Results,No,Results,No,Results,22.06.2020,IRCT20200401046909N1
2043,NCT04409886,ClinicalTrials.gov,27.05.2020,1.06.2020,FALSE,Maimonides,Medical,Center,Not,Recruiting,Not,Applicable,Interventional,No,Country,Given,Hyperbaric,Oxygen,Therapy,in,Non-ventilated,COVID-19,Patients,HBOT,Drug,Oxygen,Oxygen,30,31.12.2020,30.03.2021,https://clinicaltrials.gov/show/NCT04409886,No,Results,No,Results,No,Results,22.06.2020,None
2053,NCT04422522,ClinicalTrials.gov,7.06.2020,15.03.2020,TRUE,Al-Azhar,University,Not,Recruiting,Not,Applicable,Observational,Egypt,Fibromyalgia,During,the,COVID-19,Pandemic,,Clinical,Presentation,No,Intervention,No,Intervention,45,15.05.2020,30.06.2020,https://clinicaltrials.gov/show/NCT04422522,No,Results,No,Results,No,Results,22.06.2020,None,,
2054,NCT04422574,ClinicalTrials.gov,8.06.2020,1.05.2020,TRUE,University,Hospital,,Montpellier,Not,Recruiting,Not,Applicable,Observational,France,COVID,19,Serology,in,Pulmonologists,Pneumoserocov,Drug,(Chemoprophylaxis),Hydroxychloroquine,Hydroxychloroquine,97,1.05.2020,30.05.2020,https://clinicaltrials.gov/show/NCT04422574,No,Results,No,Results,No,Results,22.06.2020,None,,
2057,NCT04423003,ClinicalTrials.gov,8.06.2020,1.03.2020,TRUE,University,Hospital,,Tübingen,Not,Recruiting,Not,Applicable,Observational,Germany,Endoscopic,Interventions,in,Patients,With,COVID-19,,Procedure,Endoscopy,Endoscopy,10,15.05.2020,15.05.2020,https://clinicaltrials.gov/show/NCT04423003,No,Results,No,Results,No,Results,22.06.2020,None,,
2060,NCT04424082,ClinicalTrials.gov,7.06.2020,7.06.2020,FALSE,Karolinska,Institutet,Recruiting,Not,Applicable,Interventional,Sweden,External,Dead,Space,in,Ventilated,COVID-19,Patients,,Other,(physical),Mechanical,ventilation,Mechanical,ventilation,40,7.11.2020,7.11.2020,https://clinicaltrials.gov/show/NCT04424082,No,Results,No,Results,No,Results,22.06.2020,None,
2062,NCT04424901,ClinicalTrials.gov,29.05.2020,3.05.2020,TRUE,UConn,Health,Recruiting,Phase,2,Interventional,United,States,Trial,of,Open,Label,Dipyridamole-,In,Hospitalized,Patients,With,COVID-19,TOLD,Drug,Dipyridamole,Dipyridamole,100,1.05.2021,30.05.2021,https://clinicaltrials.gov/show/NCT04424901,No,Results,No,Results,No,Results,22.06.2020,None
2064,NCT04425005,ClinicalTrials.gov,8.06.2020,10.05.2020,TRUE,University,of,São,Paulo,Recruiting,Not,Applicable,Interventional,Brazil,Home-based,Exercise,Training,During,Covid-19,Pandemic,in,Post-bariatric,,Other,(exercise),Exercise,Exercise,70,20.11.2020,21.02.2020,https://clinicaltrials.gov/show/NCT04425005,No,Results,No,Results,No,Results,22.06.2020,None
2065,NCT04425044,ClinicalTrials.gov,9.06.2020,12.04.2020,TRUE,Aarogyam,UK,Not,Recruiting,Not,Applicable,Observational,India,AiM,Covid,Self,Monitoring,,Diagnostics,Diagnostic,Test,or,Assessment,Diagnostic,Test,or,Assessment,1000,18.05.2020,28.05.2020,https://clinicaltrials.gov/show/NCT04425044,No,Results,No,Results,No,Results,22.06.2020,None
2066,NCT04425382,ClinicalTrials.gov,21.05.2020,1.03.2020,TRUE,Hamad,Medical,Corporation,Recruiting,Not,Applicable,Observational,Qatar,Darunavir/Cobicistat,vs.,Lopinavir/Ritonavir,in,COVID-19,Pneumonia,in,Qatar,DOLCI,Drug,Darunavir/Cobicistat,vs.,Lopinavir/Ritonavir,Darunavir/Cobicistat,,,,,,,,,,,,
2080,NCT04426305,ClinicalTrials.gov,3.06.2020,21.05.2020,TRUE,University,of,Ghent,Recruiting,Not,Applicable,Interventional,Belgium,Community,Health,Workers,Against,COVID19,,Other,(psych),Psychological,Psychological,140,20.06.2020,30.10.2020,https://clinicaltrials.gov/show/NCT04426305,No,Results,No,Results,No,Results,22.06.2020,None,,,,
2083,NCT04427345,ClinicalTrials.gov,4.06.2020,1.03.2020,TRUE,University,of,Milano,Bicocca,Recruiting,Not,Applicable,Observational,Italy,Predictive,Factors,COVID-19,Patients,MI-COVID,Prognosis,No,Intervention,No,Intervention,1000,30.04.2021,30.04.2021,https://clinicaltrials.gov/show/NCT04427345,No,Results,No,Results,No,Results,22.06.2020,None,,,
2090,NCT04429854,ClinicalTrials.gov,9.06.2020,2.05.2020,TRUE,UZ,Leuven,Recruiting,Phase,2,Interventional,Belgium,Donated,Antibodies,Working,Against,nCoV,DAWN-Plasma,ATMP,Plasma,Plasma,483,2.11.2021,2.11.2021,https://clinicaltrials.gov/show/NCT04429854,No,Results,No,Results,No,Results,22.06.2020,None,,,,,,
2097,ISRCTN40092247,ISRCTN,1.04.2020,20.03.2020,TRUE,University,of,Oxford,Recruiting,Not,Applicable,Observational,United,Kingdom,UKOSS:,Pandemic,COVID-19,in,pregnancy,,Clinical,Presentation,No,Intervention,No,Intervention,500,Not,Available,31.12.2022,http://isrctn.com/ISRCTN40092247,No,Results,No,Results,No,Results,22.06.2020,None
2106,EUCTR2020-002293-28-SE,EU,Clinical,Trials,Register,13.05.2020,29.05.2020,FALSE,Karolinska,University,Hospital,Authorised,Phase,2,Interventional,Sweden,Treatment,with,Omega-3,polyunsaturated,fatty,acids,in,COVID-19,patients.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,single-blind,,randomized,"""",placebo-controlled,feasibility,"study.""""""",,Drug,Omega,3,Omega,3,20,Not,Available,Not,Available,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002293-28,No,Results,No,Results,No,Results,22.06.2020,None,,,,,,,,,,,,
2113,NCT04312243,ClinicalTrials.gov,15.03.2020,7.04.2020,FALSE,Massachusetts,General,Hospital,Recruiting,Phase,2,Interventional,United,States,NO,Prevention,of,COVID-19,for,Healthcare,Providers,NOpreventCOVID,Drug,Nitric,oxide,Nitric,oxide,470,7.04.2021,7.04.2022,https://clinicaltrials.gov/show/NCT04312243,No,Results,No,Results,No,Results,25.06.2020,None
2121,NCT04370262,ClinicalTrials.gov,27.04.2020,7.04.2020,TRUE,Northwell,Health,Recruiting,Phase,3,Interventional,United,States,Multi-site,Adaptive,Trials,for,COVID-19,,Drug,Hydroxychloroquine,+,Famotidine,vs.,Hydroxychloroquine,Hydroxychloroquine,,,,,,,,,,,,,
2131,NCT04413071,ClinicalTrials.gov,23.05.2020,25.05.2020,FALSE,AORTICA,Group,Not,Recruiting,Not,Applicable,Observational,Spain,Cardiac,COVID-19,Health,Care,Workers,CCC,Clinical,Presentation,No,Intervention,No,Intervention,142,12.06.2020,12.06.2020,https://clinicaltrials.gov/show/NCT04413071,Pre-Print,Article,14.07.2020,https://doi.org/10.1101/2020.07.12.20151316,25.06.2020,None,,,,
2141,NCT04429828,ClinicalTrials.gov,11.06.2020,13.06.2020,FALSE,University,of,Nottingham,Not,Recruiting,Not,Applicable,Interventional,No,Country,Given,COVID-19,Psychological,Wellbeing,for,Healthcare,Students,PoWerS,Other,(psych),Psychological,Psychological,45,30.09.2020,30.12.2020,https://clinicaltrials.gov/show/NCT04429828,No,Results,No,Results,No,Results,25.06.2020,None
2158,NCT04363853,ClinicalTrials.gov,17.04.2020,1.06.2020,FALSE,Instituto,Nacional,de,Cancerología,Recruiting,Phase,2,Interventional,Mexico,Tocilizumab,Treatment,in,Patients,With,COVID-19,,Drug,Tocilizumab,Tocilizumab,200,1.06.2021,1.08.2021,https://clinicaltrials.gov/show/NCT04363853,No,Results,No,Results,No,Results,29.06.2020,None,,,
2159,NCT04366778,ClinicalTrials.gov,23.04.2020,1.05.2020,FALSE,Hospices,Civils,de,Lyon,Recruiting,Not,Applicable,Observational,France,Thrombosis,and,Covid-19,COVBIO,Diagnostics,Diagnostic,Test,or,Assessment,Diagnostic,Test,or,Assessment,325,20.12.2020,20.12.2020,https://clinicaltrials.gov/show/NCT04366778,No,Results,No,Results,No,Results,29.06.2020,None
2162,NCT04371354,ClinicalTrials.gov,28.04.2020,27.04.2020,TRUE,Fundación,Miguel,Servet,Recruiting,Not,Applicable,Observational,Spain,Outcomes,of,Covid-19,Protective,Measures,in,Endoscopy,,Clinical,Presentation,No,Intervention,No,Intervention,100,14.06.2020,27.07.2020,https://clinicaltrials.gov/show/NCT04371354,No,Results,No,Results,No,Results,29.06.2020,None
2165,NCT04383457,ClinicalTrials.gov,4.05.2020,15.06.2020,FALSE,Vastra,Gotaland,Region,Recruiting,Not,Applicable,Observational,Sweden,Covid-19,Triage,Using,Camera-based,AI,,Other,(device),Other,Other,500,20.12.2020,20.12.2020,https://clinicaltrials.gov/show/NCT04383457,No,Results,No,Results,No,Results,29.06.2020,None,,,,
2167,NCT04390126,ClinicalTrials.gov,14.05.2020,20.04.2020,TRUE,CHU,Dijon,Not,Recruiting,Not,Applicable,Observational,France,COVID-19,Related,Lockdown,Effects,On,Chronic,Diseases,CLEO-CD,Other,Other,Other,1200,7.05.2021,7.11.2021,https://clinicaltrials.gov/show/NCT04390126,No,Results,No,Results,No,Results,29.06.2020,None,,,
2172,NCT04427098,ClinicalTrials.gov,29.05.2020,22.05.2020,FALSE,AOU,di,Bologna,Policlinico,S.Orsola-Malpighi,Recruiting,Phase,2,Interventional,Italy,Enoxaparin,in,COVID-19,Moderate,to,Severe,Hospitalized,Patients,INHIXACOV19,Drug,Enoxaparin,Enoxaparin,300,30.10.2020,30.10.2020,https://clinicaltrials.gov/show/NCT04427098,No,Results,No,Results,No,Results,29.06.2020,EUCTR2020-001308-40
2177,NCT04432987,ClinicalTrials.gov,15.06.2020,25.05.2020,TRUE,Acibadem,University,Recruiting,Phase,2,Interventional,Turkey,Dornase,Alpha,for,the,Treatment,of,COVID-19,,Drug,Dornase,alfa,Dornase,alfa,60,25.08.2020,25.09.2020,https://clinicaltrials.gov/show/NCT04432987,No,Results,No,Results,No,Results,29.06.2020,None,,
2187,NCT04435041,ClinicalTrials.gov,16.06.2020,1.06.2020,TRUE,University,of,Oxford,Not,Recruiting,Not,Applicable,Observational,United,Kingdom,Remote-by-Default,Care,in,the,COVID-19,Pandemic,,Telehealth,Telehealth,Telehealth,1,31.05.2021,30.11.2021,https://clinicaltrials.gov/show/NCT04435041,No,Results,No,Results,No,Results,29.06.2020,None,,
2190,NCT04435119,ClinicalTrials.gov,12.06.2020,15.03.2020,TRUE,University,Hospital,,Angers,Not,Recruiting,Not,Applicable,Observational,France,Covid-19,and,Vitamin,D,in,Nursing-home,COVIT-EHPAD,Drug,Vitamin,D,Vitamin,D,96,15.05.2020,15.05.2020,https://clinicaltrials.gov/show/NCT04435119,No,Results,No,Results,No,Results,29.06.2020,None
2191,NCT04435275,ClinicalTrials.gov,9.06.2020,30.06.2020,FALSE,University,Health,Network,,Toronto,Not,Recruiting,Not,Applicable,Interventional,No,Country,Given,Virtual,Assistant,for,COVID-19,PPE,,Telehealth,Telehealth,Telehealth,50,31.03.2021,1.05.2021,https://clinicaltrials.gov/show/NCT04435275,No,Results,No,Results,No,Results,29.06.2020,None
2208,ChiCTR2000034112,ChiCTR,24.06.2020,25.06.2020,FALSE,Shulan,(Hangzhou),Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,NCT04360824,ClinicalTrials.gov,13.04.2020,6.05.2020,FALSE,University,of,Iowa,Recruiting,Phase,4,Interventional,United,States,Covid-19,Associated,Coagulopathy,,Drug,Enoxaparin,Enoxaparin,170,16.04.2021,16.04.2021,https://clinicaltrials.gov/show/NCT04360824,No,Results,No,Results,No,Results,2.07.2020,None,,,,,,
2226,NCT04368923,ClinicalTrials.gov,24.04.2020,15.03.2020,TRUE,Cairo,University,Not,Recruiting,Not,Applicable,Interventional,Egypt,Management,of,Covid-19,Patients,During,Home,Isolation,,Drug,Oxygen,Oxygen,60,21.06.2020,23.06.2020,https://clinicaltrials.gov/show/NCT04368923,No,Results,No,Results,No,Results,2.07.2020,None,,,
2230,NCT04395300,ClinicalTrials.gov,19.05.2020,30.03.2020,TRUE,Assiut,University,Not,Recruiting,Not,Applicable,Observational,Egypt,Sleep,Quality,in,Healthcare,Personnel,During,COVID-19,,Other,(psych),No,Intervention,No,Intervention,143,30.04.2020,16.05.2020,https://clinicaltrials.gov/show/NCT04395300,No,Results,No,Results,No,Results,2.07.2020,None
2231,NCT04399889,ClinicalTrials.gov,21.05.2020,18.06.2020,FALSE,Joanne,Kurtzberg,,MD,Recruiting,Phase,1/Phase,2,Interventional,United,States,hCT-MSCs,for,COVID19,ARDS,,ATMP,Cells,(mesenchymal),Cells,(mesenchymal),30,1.04.2021,31.07.2021,https://clinicaltrials.gov/show/NCT04399889,No,Results,No,Results,No,Results,2.07.2020,None,
2235,NCT04412304,ClinicalTrials.gov,30.05.2020,6.03.2020,TRUE,Karolinska,Institutet,Not,Recruiting,Not,Applicable,Observational,Sweden,Anticoagulant,Therapy,and,28-days,Mortality,in,Critically,Ill,COVID-19,Patients,,Drug,Anticoagulants,Anticoagulants,166,30.04.2020,28.05.2020,https://clinicaltrials.gov/show/NCT04412304,No,Results,No,Results,No,Results,2.07.2020,None
2244,NCT04438629,ClinicalTrials.gov,16.06.2020,26.03.2020,TRUE,AOUI,Verona,Recruiting,Not,Applicable,Observational,Italy,Evaluation,of,Immune,Response,in,COVID-19,Patients,IMMUNOVID,Clinical,Presentation,No,Intervention,No,Intervention,80,10.06.2020,26.11.2020,https://clinicaltrials.gov/show/NCT04438629,No,Results,No,Results,No,Results,2.07.2020,None,
2247,NCT04438980,ClinicalTrials.gov,18.06.2020,15.05.2020,TRUE,Fundación,Miguel,Servet,Recruiting,Phase,3,Interventional,Spain,Glucocorticoids,in,COVID-19,(CORTIVID),CORTIVID,Drug,Corticosteroids,Methylprednisolone,72,20.12.2020,21.02.2020,https://clinicaltrials.gov/show/NCT04438980,No,Results,No,Results,No,Results,2.07.2020,EUCTR2020-001827-15,,,,,,
2248,NCT04438993,ClinicalTrials.gov,18.06.2020,29.05.2020,TRUE,NHS,Lanarkshire,Recruiting,Not,Applicable,Observational,United,Kingdom,The,COVID-19,Disease,and,CARdiac,Events,Study,COVICARE,Clinical,Presentation,No,Intervention,No,Intervention,100,20.10.2020,20.11.2020,https://clinicaltrials.gov/show/NCT04438993,No,Results,No,Results,No,Results,2.07.2020,None
2257,NCT04442152,ClinicalTrials.gov,19.06.2020,1.06.2020,TRUE,Promundo,Recruiting,Not,Applicable,Interventional,Rwanda,Impact,of,COVID-19,on,Family,Dynamics,on,Bandebereho,Study,Participants,,Other,Other,Other,1000,20.08.2020,20.08.2020,https://clinicaltrials.gov/show/NCT04442152,No,Results,No,Results,No,Results,2.07.2020,None,,
2269,NCT04444310,ClinicalTrials.gov,19.06.2020,15.06.2020,TRUE,Assiut,University,Not,Recruiting,Not,Applicable,Observational,Egypt,Antibody,Responses,in,Contacts,of,COVID-19,Patients,,Clinical,Presentation,No,Intervention,No,Intervention,100,18.06.2020,30.09.2020,https://clinicaltrials.gov/show/NCT04444310,No,Results,No,Results,No,Results,2.07.2020,None
2272,NCT04445311,ClinicalTrials.gov,19.06.2020,31.05.2020,TRUE,Zagazig,University,Recruiting,Phase,2/Phase,3,Interventional,Egypt,Ivermectin,in,Treatment,of,COVID-19,,Drug,Ivermectin,Ivermectin,100,30.07.2020,15.08.2020,https://clinicaltrials.gov/show/NCT04445311,No,Results,No,Results,No,Results,2.07.2020,None,,,,,
2273,NCT04314232,ClinicalTrials.gov,17.03.2020,18.03.2020,FALSE,University,Hospital,,Akershus,Recruiting,Not,Applicable,Observational,Norway,Mechanisms,for,Covid-19,Disease,Complications,COVID,MECH,Prognosis,No,Intervention,No,Intervention,200,31.12.2021,31.12.2021,https://clinicaltrials.gov/show/NCT04314232,No,Results,No,Results,No,Results,6.07.2020,None,
2275,NCT04323592,ClinicalTrials.gov,19.03.2020,23.03.2020,FALSE,University,of,Trieste,Not,Recruiting,Not,Applicable,Observational,Italy,Methylprednisolone,for,Patients,With,COVID-19,Severe,Acute,Respiratory,Syndrome,MP-C19,Drug,Corticosteroids,Methylprednisolone,173,10.05.2020,10.05.2020,https://clinicaltrials.gov/show/NCT04323592,Registry,Results,4.06.2020,https://clinicaltrials.gov/ct2/show/results/NCT04323592,6.07.2020,None,,
